order_date,country,sales
2013-01-08,FAKEISTAN,88
2013-01-15,FAKEISTAN,99
2013-01-20,FAKEISTAN,119
2013-02-02,FAKEISTAN,121
2013-02-14,FAKEISTAN,137
2013-02-17,FAKEISTAN,126
2013-02-25,FAKEISTAN,95
2013-03-05,FAKEISTAN,119
2013-03-11,FAKEISTAN,80
2013-03-17,FAKEISTAN,138
2013-03-22,FAKEISTAN,145
2013-03-24,FAKEISTAN,129
2013-03-26,FAKEISTAN,102
2013-03-30,FAKEISTAN,126
2013-04-01,FAKEISTAN,103
2013-04-05,FAKEISTAN,106
2013-04-09,FAKEISTAN,85
2013-04-17,FAKEISTAN,94
2013-04-23,FAKEISTAN,128
2013-05-09,FAKEISTAN,123
2013-05-30,FAKEISTAN,141
2013-05-31,FAKEISTAN,121
2013-06-03,FAKEISTAN,96
2013-06-06,FAKEISTAN,237
2013-06-11,FAKEISTAN,110
2013-06-15,FAKEISTAN,134
2013-06-18,FAKEISTAN,111
2013-06-21,FAKEISTAN,133
2013-06-24,FAKEISTAN,83
2013-07-05,FAKEISTAN,127
2013-07-17,FAKEISTAN,139
2013-07-21,FAKEISTAN,130
2013-07-31,FAKEISTAN,133
2013-08-09,FAKEISTAN,289
2013-08-11,FAKEISTAN,128
2013-08-12,FAKEISTAN,80
2013-08-15,FAKEISTAN,129
2013-08-16,FAKEISTAN,111
2013-08-19,FAKEISTAN,74
2013-08-21,FAKEISTAN,124
2013-09-01,FAKEISTAN,162
2013-09-12,FAKEISTAN,172
2013-09-07,FAKEISTAN,170
2013-09-09,FAKEISTAN,105
2013-09-25,FAKEISTAN,197
2013-10-06,FAKEISTAN,227
2013-10-08,FAKEISTAN,117
2013-10-10,FAKEISTAN,194
2013-10-19,FAKEISTAN,173
2013-10-21,FAKEISTAN,141
2013-10-25,FAKEISTAN,198
2013-10-26,ANNEXIA,7
2013-10-27,ANNEXIA,11
2013-11-02,FAKEISTAN,162
2013-11-03,FAKEISTAN,221
2013-11-06,FAKEISTAN,168
2013-11-03,ANNEXIA,6
2013-11-12,ANNEXIA,9
2013-11-12,DELTORA,11
2013-11-14,FAKEISTAN,192
2013-11-15,FAKEISTAN,200
2013-11-17,FAKEISTAN,206
2013-11-17,DELTORA,15
2013-11-18,FAKEISTAN,209
2013-11-19,DELTORA,19
2013-11-20,DELTORA,6
2013-11-22,ISLANDIA,7
2013-11-23,NEVORUSS,9
2013-11-24,NUMBANI,3
2013-11-25,NEVORUSS,14
2013-11-27,FAKEISTAN,206
2013-11-28,FAKEISTAN,212
2013-11-27,ISLANDIA,4
2013-11-28,ISLANDIA,5
2013-11-30,PALOMBIA,9
2013-12-01,NUMBANI,5
2013-12-03,FAKEISTAN,182
2013-12-04,DELTORA,9
2013-12-07,FAKEISTAN,248
2013-12-08,PALOMBIA,10
2013-12-09,NEVORUSS,32
2013-12-09,ANNEXIA,7
2013-12-10,NUMBANI,3
2013-12-11,NEVORUSS,14
2013-12-14,PALOMBIA,8
2013-12-15,FAKEISTAN,281
2013-12-19,FAKEISTAN,218
2013-12-15,ISLANDIA,16
2013-12-16,FAKEISTAN,193
2013-12-16,NEVORUSS,34
2013-12-16,ISLANDIA,24
2013-12-17,FAKEISTAN,212
2013-12-18,DELTORA,9
2013-12-20,NEVORUSS,16
2013-12-21,FAKEISTAN,197
2013-12-21,ISLANDIA,12
2013-12-24,ISLANDIA,14
2013-12-24,FAKEISTAN,33
2013-12-27,FAKEISTAN,125
2013-12-27,ISLANDIA,13
2013-12-28,FAKEISTAN,121
2013-12-28,NEVORUSS,16
2013-12-29,DELTORA,16
2013-12-30,ISLANDIA,19
2013-12-31,NEVORUSS,21
2014-01-01,FAKEISTAN,163
2014-01-02,ANNEXIA,4
2014-01-04,PALOMBIA,9
2014-01-05,ISLANDIA,11
2014-01-06,NEVORUSS,28
2014-01-06,DELTORA,15
2014-01-06,ANNEXIA,9
2014-01-07,PALOMBIA,13
2014-01-10,DELTORA,7
2014-01-11,PALOMBIA,10
2014-01-12,NEVORUSS,22
2014-01-13,FAKEISTAN,194
2014-01-13,ISLANDIA,17
2014-01-16,FAKEISTAN,232
2014-01-15,ISLANDIA,7
2014-01-18,FAKEISTAN,231
2014-01-23,PALOMBIA,7
2014-01-27,NEVORUSS,36
2014-01-27,DELTORA,19
2014-02-01,FAKEISTAN,245
2014-02-01,ISLANDIA,8
2014-02-04,ISLANDIA,17
2014-02-07,NEVORUSS,16
2014-02-09,FAKEISTAN,300
2014-02-08,PALOMBIA,8
2014-02-09,ISLANDIA,16
2014-02-10,NEVORUSS,37
2014-02-10,ANNEXIA,7
2014-02-11,PALOMBIA,15
2014-02-13,ANNEXIA,2
2014-02-15,FAKEISTAN,269
2014-02-14,NEVORUSS,29
2014-02-14,ANNEXIA,3
2014-02-23,FAKEISTAN,275
2014-02-24,FAKEISTAN,197
2014-02-28,FAKEISTAN,278
2014-03-03,PALOMBIA,7
2014-03-03,NUMBANI,3
